zip,Year,had_fire,prior_fire_count,prior_total_acres,prior_max_acres,had_prior_fire,prior_total_acres_log,prior_max_acres_log,mean_tmax,max_tmax,mean_tmin,min_tmin,total_precip,mean_precip,min_precip,temp_range,fire_season_mean_tmax,fire_season_max_tmax,fire_season_total_precip,Avg Fire Risk Score,Avg PPC,Earned Exposure,Earned Premium,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,CAT Cov A Fire -  Incurred Losses,CAT Cov A Fire -  Number of Claims,Non-CAT Cov A Fire -  Incurred Losses,Non-CAT Cov A Fire -  Number of Claims,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of Negligible Fire Risk Exposure,total_population,median_income,total_housing_units,average_household_size,educational_attainment_bachelor_or_higher,poverty_status,housing_value,housing_vacancy_number,median_monthly_housing_costs,owner_occupied_housing_units,renter_occupied_housing_units
90001.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.16599999999999998,2.33,5274.599999999999,2065285.0,185395.728,47597.164000000004,0.0,0.0,421149.0,9.0,0.0,0.0,110.0,0.0,5164.0,56403.0,60751.0,13998.0,4.19,1865.0,11533.0,513300.0,582.0,1493.0,4775.0,8641.0
90002.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.2075,1.545,4541.22,1960435.0,172901.165,52012.42999999999,17323.0,1.0,1150118.0,13.0,8.0,0.0,113.0,0.0,4421.0,52735.0,56158.0,13808.0,3.95,1905.0,12265.0,502600.0,489.0,1648.0,5423.0,7896.0
90003.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.27999999999999997,1.0916666666666668,5949.14,2681068.0,160363.995,41828.435,0.0,0.0,310001.0,6.0,0.0,0.0,133.0,1.0,5815.0,71708.0,54781.0,18349.0,4.03,2294.0,18743.0,547600.0,715.0,1609.0,4692.0,12942.0
90004.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.158717357910906,33.54838709677419,13.129991679467485,7.535483870967742,260.3,21.691666666666666,0.0,14.161290322580644,29.679612903225802,33.54838709677419,7.9,0.22000000000000003,1.059,3008.74,3613045.0,386946.424,152209.02899999998,0.0,0.0,36517.0,2.0,0.0,0.0,433.0,69.0,2507.0,58844.0,62655.0,26046.0,2.44,11822.0,10994.0,1457200.0,2311.0,1847.0,4011.0,19724.0
90005.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.25,1.062,1176.07,1217110.0,502144.857,193124.90899999999,0.0,0.0,7124.0,1.0,0.0,0.0,335.0,16.0,824.0,38747.0,52755.0,19357.0,2.18,7582.0,9463.0,1084400.0,1880.0,1651.0,1572.0,15905.0
90006.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.23700000000000002,1.06,1805.3600000000001,1141178.0,249859.671,75750.077,0.0,0.0,39217.0,3.0,0.0,0.0,220.0,1.0,1584.0,55192.0,49847.0,21475.0,2.79,6758.0,13274.0,841900.0,2207.0,1415.0,1951.0,17317.0
90007.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.078,1.248,1847.1599999999999,1016104.0,233776.854,69211.44399999999,0.0,0.0,230715.0,3.0,0.0,0.0,161.0,3.0,1685.0,39253.0,36032.0,14153.0,2.75,3536.0,13473.0,852900.0,1702.0,1504.0,1297.0,11154.0
90008.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.1875,1.1208333333333333,2089.34,2095231.0,340098.92416666663,72946.51416666666,0.0,0.0,148880.0,2.0,0.0,0.0,261.0,1.0,1827.0,33443.0,61822.0,16245.0,2.26,4758.0,5416.0,1003000.0,1505.0,1741.0,4475.0,10265.0
90009.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,
90010.0,2018.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.31929211469534,26.996774193548383,14.603904249871993,9.728571428571428,198.1,16.508333333333333,0.0,8.535483870967738,24.946021505376343,26.996774193548383,14.7,0.2933333333333334,1.0416666666666667,293.21999999999997,114611.0,117534.74666666666,28234.235,0.0,0.0,0.0,0.0,0.0,0.0,102.0,3.0,189.0,4478.0,100901.0,3024.0,1.8,1273.0,486.0,863500.0,536.0,2683.0,444.0,2044.0
